organisation,records,date,type,source,location,industry
River City Media,1340000000,06/03/2017,Nuisance,Accidental Loss,United States,Other
Motor Vehicles Department in Kerala,200000000,01/05/2017,Nuisance,Malicious Outsider,India,Government
Deep Root Analytics/ Republican National Committee,198000000,13/06/2017,Identity Theft,Accidental Loss,United States,Government
Equifax,143000000,15/07/2017,Identity Theft,Malicious Outsider,United States,Financial
Alteryx,123000000,19/12/2017,Identity Theft,Accidental Loss,United States,Technology
Reliance Jio,120000000,10/07/2017,Account Access,Malicious Outsider,India,Technology
Jigsaw Holdings,75000000,01/11/2017,Identity Theft,Accidental Loss,South Africa,Financial
Malaysian Communication and Multimedia Commissions (MCMC),46000000,29/10/2017,Nuisance,Accidental Loss,Malaysia,Technology
AI.type,40000000,05/12/2017,Account Access,Accidental Loss,United States,Technology
Dun and Bradstreet/NetProspex,33600000,15/03/2017,Account Access,Accidental Loss,United States,Technology
South Africans Citizens,30000000,09/03/2017,Identity Theft,Accidental Loss,South Africa,Government
Taringa,28722877,05/09/2017,Account Access,Malicious Outsider,Argentina,Entertainment
The National Health Service (NHS),26000000,17/03/2017,Identity Theft,Accidental Loss,United Kingdom,Government
New Oriental,20000000,22/03/2017,Identity Theft,Malicious Insider,China,Education
California Voters,19200000,15/12/2017,Account Access,Accidental Loss,United States,Government
Disqus,17500000,05/10/2017,Account Access,Malicious Outsider,United States,Technology
Zomato,17000000,04/05/2017,Account Access,Malicious Outsider,Global,Social Media
Verizon / NICE Systems,14000000,08/06/2017,Account Access,Accidental Loss,United States,Technology
Avison Young,9700000,04/01/2017,Identity Theft,Malicious Insider,United States,Other
Center for Election Systems at Kennesaw State University,7500000,03/03/2017,Identity Theft,Malicious Outsider,United States,Education
CashCrate,6000000,15/06/2017,Account Access,Malicious Outsider,United States,Other
Instagram,6000000,30/08/2017,Account Access,Malicious Outsider,United States,Technology
Kansas Department of Commerce System,5500000,06/03/2017,Identity Theft,Malicious Outsider,United States,Government
Sonic Drive-In,5000000,16/09/2017,Financial Access,Malicious Outsider,United States,Retail
America Joblink Alliance,4800000,21/03/2017,Identity Theft,Malicious Outsider,United States,Technology
BroadSoft / Time Warner Cable,4000000,07/07/2017,Account Access,Accidental Loss,United States,Technology
