organisation,records,date,type,source,location,industry
Women's Health Care Group of Pennsylvania,300000,01/01/2017,Identity Theft,Malicious Outsider,United States,Healthcare
IndyCar.Com,200000,01/01/2017,Identity Theft,Accidental Loss,United States,Entertainment
Emory Healthcare's Orthopaedics & Spine Center and Brain Health Center,79930,03/01/2017,Identity Theft,Malicious Outsider,United States,Healthcare
Avison Young,9700000,04/01/2017,Identity Theft,Malicious Insider,United States,Other
Waterly / M.G.A.R / Pay 24 / bill2mail,1000000,07/01/2017,Identity Theft,Accidental Loss,Israel,Financial
CloudPet/Spiral Toys,821296,07/01/2017,Account Access,Accidental Loss,United States,Retail
Guelph City,50000,07/01/2017,Identity Theft,Accidental Loss,Canada,Government
Guelph Local Government,50000,07/01/2017,Identity Theft,Accidental Loss,Canada,Government
Princeton University,27000,07/01/2017,Identity Theft,Malicious Outsider,United States,Education
TwoPlusTwo,400000,09/01/2017,Account Access,Malicious Outsider,United States,Entertainment
Arbys,355000,19/01/2017,Financial Access,Malicious Outsider,United States,Retail
Stephenville Medical & Surgical Clinic,75000,23/01/2017,Identity Theft,Malicious Outsider,United States,Healthcare
VICI Marketing,400000,25/01/2017,Financial Access,Accidental Loss,United States,Technology
The Candid Board,180000,25/01/2017,Existential Data,Malicious Outsider,United Kingdom,Entertainment
WellCare Health Plans,24809,27/01/2017,Identity Theft,Malicious Outsider,United States,Healthcare
Michigan Unemployment Insurance Agency,1870000,30/01/2017,Identity Theft,Accidental Loss,United States,Government
Another Broken Egg Cafe,67000,30/01/2017,Financial Access,Malicious Outsider,United States,Retail
Jackson Health System,24000,31/01/2017,Identity Theft,Malicious Insider,United States,Healthcare
ABCD Pediatrics,55447,06/02/2017,Identity Theft,Malicious Outsider,United States,Healthcare
City of Houston,100000,07/02/2017,Identity Theft,Accidental Loss,United States,Government
Canada Revenue Agency (CRA),28000,09/02/2017,Identity Theft,Accidental Loss,Canada,Government
McDonalds,2200000,13/02/2017,Account Access,Accidental Loss,India,Retail
Salt Lake City Retailers,143000,17/02/2017,Identity Theft,Malicious Outsider,United States,Retail
Harvard University,1400000,21/02/2017,Identity Theft,Accidental Loss,United States,Education
Coachella,950000,23/02/2017,Account Access,Malicious Outsider,United States,Entertainment
Office of Syed Ahmed,79930,23/02/2017,Identity Theft,Malicious Outsider,United States,Healthcare
Lifespan,20431,25/02/2017,Identity Theft,Malicious Outsider,United States,Healthcare
PharmaNet,20500,26/02/2017,Identity Theft,Malicious Outsider,Canada,Healthcare
Urology Austin,279663,27/02/2017,Identity Theft,Malicious Outsider,United States,Healthcare
Abta,43000,27/02/2017,Identity Theft,Malicious Outsider,United Kingdom,Technology
vBulletin,819977,28/02/2017,Account Access,Malicious Outsider,United States,Technology
Commonwealth Health Corporation,697800,01/03/2017,Identity Theft,Malicious Outsider,United States,Healthcare
VisionQuest Eyecare,85995,02/03/2017,Identity Theft,Malicious Outsider,United States,Healthcare
Center for Election Systems at Kennesaw State University,7500000,03/03/2017,Identity Theft,Malicious Outsider,United States,Education
River City Media,1340000000,06/03/2017,Nuisance,Accidental Loss,United States,Other
Kansas Department of Commerce System,5500000,06/03/2017,Identity Theft,Malicious Outsider,United States,Government
McDonald's Canada,95000,07/03/2017,Identity Theft,Malicious Outsider,Canada,Retail
Good Choice,990000,08/03/2017,Identity Theft,Malicious Outsider,South Korea,Hospitality
Primary Care Specialists,65000,09/03/2017,Identity Theft,Malicious Outsider,United States,Healthcare
Dun and Bradstreet/NetProspex,33600000,15/03/2017,Account Access,Accidental Loss,United States,Technology
